feed_event_id,timestamp,agent_id,provider_id,event_type,delay_minutes,reported_balance
FEED-00001,2026-06-20T09:00:00+06:00,AG001,BKASH,HEARTBEAT,0,
FEED-00029,2026-06-20T09:00:00+06:00,AG001,NAGAD,HEARTBEAT,0,
FEED-00057,2026-06-20T09:00:00+06:00,AG001,ROCKET,HEARTBEAT,0,
FEED-00085,2026-06-20T09:00:00+06:00,AG002,BKASH,HEARTBEAT,0,
FEED-00113,2026-06-20T09:00:00+06:00,AG002,NAGAD,HEARTBEAT,0,
FEED-00141,2026-06-20T09:00:00+06:00,AG002,ROCKET,HEARTBEAT,0,
FEED-00169,2026-06-20T09:00:00+06:00,AG003,BKASH,HEARTBEAT,0,
FEED-00197,2026-06-20T09:00:00+06:00,AG003,NAGAD,HEARTBEAT,0,
FEED-00225,2026-06-20T09:00:00+06:00,AG003,ROCKET,HEARTBEAT,0,
FEED-00253,2026-06-20T09:00:00+06:00,AG004,BKASH,HEARTBEAT,0,
FEED-00281,2026-06-20T09:00:00+06:00,AG004,NAGAD,HEARTBEAT,0,
FEED-00309,2026-06-20T09:00:00+06:00,AG004,ROCKET,HEARTBEAT,0,
FEED-00337,2026-06-20T09:00:00+06:00,AG005,BKASH,HEARTBEAT,0,
FEED-00365,2026-06-20T09:00:00+06:00,AG005,NAGAD,HEARTBEAT,0,
FEED-00393,2026-06-20T09:00:00+06:00,AG005,ROCKET,HEARTBEAT,0,
FEED-00419,2026-06-20T09:00:00+06:00,AG006,BKASH,HEARTBEAT,0,
FEED-00447,2026-06-20T09:00:00+06:00,AG006,NAGAD,HEARTBEAT,0,
FEED-00475,2026-06-20T09:00:00+06:00,AG006,ROCKET,HEARTBEAT,0,
FEED-00002,2026-06-20T09:20:00+06:00,AG001,BKASH,HEARTBEAT,0,
FEED-00030,2026-06-20T09:20:00+06:00,AG001,NAGAD,HEARTBEAT,0,
FEED-00058,2026-06-20T09:20:00+06:00,AG001,ROCKET,HEARTBEAT,0,
FEED-00086,2026-06-20T09:20:00+06:00,AG002,BKASH,HEARTBEAT,0,
FEED-00114,2026-06-20T09:20:00+06:00,AG002,NAGAD,HEARTBEAT,0,
FEED-00142,2026-06-20T09:20:00+06:00,AG002,ROCKET,HEARTBEAT,0,
FEED-00170,2026-06-20T09:20:00+06:00,AG003,BKASH,HEARTBEAT,0,
FEED-00198,2026-06-20T09:20:00+06:00,AG003,NAGAD,HEARTBEAT,0,
FEED-00226,2026-06-20T09:20:00+06:00,AG003,ROCKET,HEARTBEAT,0,
FEED-00254,2026-06-20T09:20:00+06:00,AG004,BKASH,HEARTBEAT,0,
FEED-00282,2026-06-20T09:20:00+06:00,AG004,NAGAD,HEARTBEAT,0,
FEED-00310,2026-06-20T09:20:00+06:00,AG004,ROCKET,HEARTBEAT,0,
FEED-00338,2026-06-20T09:20:00+06:00,AG005,BKASH,HEARTBEAT,0,
FEED-00366,2026-06-20T09:20:00+06:00,AG005,NAGAD,HEARTBEAT,0,
FEED-00394,2026-06-20T09:20:00+06:00,AG005,ROCKET,HEARTBEAT,0,
FEED-00420,2026-06-20T09:20:00+06:00,AG006,BKASH,HEARTBEAT,0,
FEED-00448,2026-06-20T09:20:00+06:00,AG006,NAGAD,HEARTBEAT,0,
FEED-00476,2026-06-20T09:20:00+06:00,AG006,ROCKET,HEARTBEAT,0,
FEED-00003,2026-06-20T09:40:00+06:00,AG001,BKASH,HEARTBEAT,0,
FEED-00031,2026-06-20T09:40:00+06:00,AG001,NAGAD,HEARTBEAT,0,
FEED-00059,2026-06-20T09:40:00+06:00,AG001,ROCKET,HEARTBEAT,0,
FEED-00087,2026-06-20T09:40:00+06:00,AG002,BKASH,HEARTBEAT,0,
FEED-00115,2026-06-20T09:40:00+06:00,AG002,NAGAD,HEARTBEAT,0,
FEED-00143,2026-06-20T09:40:00+06:00,AG002,ROCKET,HEARTBEAT,0,
FEED-00171,2026-06-20T09:40:00+06:00,AG003,BKASH,HEARTBEAT,0,
FEED-00199,2026-06-20T09:40:00+06:00,AG003,NAGAD,HEARTBEAT,0,
FEED-00227,2026-06-20T09:40:00+06:00,AG003,ROCKET,HEARTBEAT,0,
FEED-00255,2026-06-20T09:40:00+06:00,AG004,BKASH,HEARTBEAT,0,
FEED-00283,2026-06-20T09:40:00+06:00,AG004,NAGAD,HEARTBEAT,0,
FEED-00311,2026-06-20T09:40:00+06:00,AG004,ROCKET,HEARTBEAT,0,
FEED-00339,2026-06-20T09:40:00+06:00,AG005,BKASH,HEARTBEAT,0,
FEED-00367,2026-06-20T09:40:00+06:00,AG005,NAGAD,HEARTBEAT,0,
FEED-00395,2026-06-20T09:40:00+06:00,AG005,ROCKET,HEARTBEAT,0,
FEED-00421,2026-06-20T09:40:00+06:00,AG006,BKASH,HEARTBEAT,0,
FEED-00449,2026-06-20T09:40:00+06:00,AG006,NAGAD,HEARTBEAT,0,
FEED-00477,2026-06-20T09:40:00+06:00,AG006,ROCKET,HEARTBEAT,0,
FEED-00004,2026-06-20T10:00:00+06:00,AG001,BKASH,HEARTBEAT,0,
FEED-00032,2026-06-20T10:00:00+06:00,AG001,NAGAD,HEARTBEAT,0,
FEED-00060,2026-06-20T10:00:00+06:00,AG001,ROCKET,HEARTBEAT,0,
FEED-00088,2026-06-20T10:00:00+06:00,AG002,BKASH,HEARTBEAT,0,
FEED-00116,2026-06-20T10:00:00+06:00,AG002,NAGAD,HEARTBEAT,0,
FEED-00144,2026-06-20T10:00:00+06:00,AG002,ROCKET,HEARTBEAT,0,
FEED-00172,2026-06-20T10:00:00+06:00,AG003,BKASH,HEARTBEAT,0,
FEED-00200,2026-06-20T10:00:00+06:00,AG003,NAGAD,HEARTBEAT,0,
FEED-00228,2026-06-20T10:00:00+06:00,AG003,ROCKET,HEARTBEAT,0,
FEED-00256,2026-06-20T10:00:00+06:00,AG004,BKASH,HEARTBEAT,0,
FEED-00284,2026-06-20T10:00:00+06:00,AG004,NAGAD,HEARTBEAT,0,
FEED-00312,2026-06-20T10:00:00+06:00,AG004,ROCKET,HEARTBEAT,0,
FEED-00340,2026-06-20T10:00:00+06:00,AG005,BKASH,HEARTBEAT,0,
FEED-00368,2026-06-20T10:00:00+06:00,AG005,NAGAD,HEARTBEAT,0,
FEED-00396,2026-06-20T10:00:00+06:00,AG005,ROCKET,HEARTBEAT,0,
