agent_id,provider_id,resource_type,opening_balance,timestamp
AG001,,SHARED_CASH,300000,2026-06-20T09:00:00+06:00
AG001,BKASH,PROVIDER_EMONEY,160000,2026-06-20T09:00:00+06:00
AG001,NAGAD,PROVIDER_EMONEY,170000,2026-06-20T09:00:00+06:00
AG001,ROCKET,PROVIDER_EMONEY,150000,2026-06-20T09:00:00+06:00
AG002,,SHARED_CASH,250000,2026-06-20T09:00:00+06:00
AG002,BKASH,PROVIDER_EMONEY,70000,2026-06-20T09:00:00+06:00
AG002,NAGAD,PROVIDER_EMONEY,190000,2026-06-20T09:00:00+06:00
AG002,ROCKET,PROVIDER_EMONEY,180000,2026-06-20T09:00:00+06:00
AG003,,SHARED_CASH,110000,2026-06-20T09:00:00+06:00
AG003,BKASH,PROVIDER_EMONEY,180000,2026-06-20T09:00:00+06:00
AG003,NAGAD,PROVIDER_EMONEY,220000,2026-06-20T09:00:00+06:00
AG003,ROCKET,PROVIDER_EMONEY,170000,2026-06-20T09:00:00+06:00
AG004,,SHARED_CASH,350000,2026-06-20T09:00:00+06:00
AG004,BKASH,PROVIDER_EMONEY,250000,2026-06-20T09:00:00+06:00
AG004,NAGAD,PROVIDER_EMONEY,240000,2026-06-20T09:00:00+06:00
AG004,ROCKET,PROVIDER_EMONEY,230000,2026-06-20T09:00:00+06:00
AG005,,SHARED_CASH,220000,2026-06-20T09:00:00+06:00
AG005,BKASH,PROVIDER_EMONEY,160000,2026-06-20T09:00:00+06:00
AG005,NAGAD,PROVIDER_EMONEY,160000,2026-06-20T09:00:00+06:00
AG005,ROCKET,PROVIDER_EMONEY,160000,2026-06-20T09:00:00+06:00
AG006,,SHARED_CASH,280000,2026-06-20T09:00:00+06:00
AG006,BKASH,PROVIDER_EMONEY,180000,2026-06-20T09:00:00+06:00
AG006,NAGAD,PROVIDER_EMONEY,190000,2026-06-20T09:00:00+06:00
AG006,ROCKET,PROVIDER_EMONEY,170000,2026-06-20T09:00:00+06:00
