transaction_id,timestamp,agent_id,provider_id,account_id,transaction_type,amount,status,channel
TXN-000197,2026-06-20T09:20:00+06:00,AG005,ROCKET,ACC-005-RO-000,CASH_OUT,800,SUCCESS,AGENT
TXN-000183,2026-06-20T09:21:00+06:00,AG005,NAGAD,ACC-005-NA-000,CASH_IN,3000,SUCCESS,AGENT
TXN-000211,2026-06-20T09:23:00+06:00,AG006,BKASH,ACC-006-BK-000,CASH_OUT,3000,FAILED,AGENT
TXN-000239,2026-06-20T09:23:00+06:00,AG006,ROCKET,ACC-006-RO-000,CASH_IN,2000,SUCCESS,AGENT
TXN-000113,2026-06-20T09:26:00+06:00,AG003,ROCKET,ACC-003-RO-000,CASH_OUT,500,SUCCESS,AGENT
TXN-000085,2026-06-20T09:28:00+06:00,AG003,BKASH,ACC-003-BK-000,CASH_IN,500,SUCCESS,AGENT
TXN-000099,2026-06-20T09:28:00+06:00,AG003,NAGAD,ACC-003-NA-000,CASH_OUT,3000,SUCCESS,AGENT
TXN-000071,2026-06-20T09:30:00+06:00,AG002,ROCKET,ACC-002-RO-000,CASH_IN,1000,SUCCESS,AGENT
TXN-000141,2026-06-20T09:30:00+06:00,AG004,NAGAD,ACC-004-NA-000,CASH_OUT,1000,SUCCESS,AGENT
TXN-000015,2026-06-20T09:31:00+06:00,AG001,NAGAD,ACC-001-NA-000,CASH_OUT,1500,SUCCESS,AGENT
TXN-000169,2026-06-20T09:32:00+06:00,AG005,BKASH,ACC-005-BK-000,CASH_OUT,500,SUCCESS,AGENT
TXN-000225,2026-06-20T09:32:00+06:00,AG006,NAGAD,ACC-006-NA-000,CASH_IN,1200,SUCCESS,AGENT
TXN-000057,2026-06-20T09:33:00+06:00,AG002,NAGAD,ACC-002-NA-000,CASH_OUT,2500,SUCCESS,AGENT
TXN-000127,2026-06-20T09:33:00+06:00,AG004,BKASH,ACC-004-BK-000,CASH_OUT,800,SUCCESS,AGENT
TXN-000155,2026-06-20T09:34:00+06:00,AG004,ROCKET,ACC-004-RO-000,CASH_OUT,5000,SUCCESS,AGENT
TXN-000001,2026-06-20T09:36:00+06:00,AG001,BKASH,ACC-001-BK-000,CASH_OUT,5000,SUCCESS,AGENT
TXN-000029,2026-06-20T09:38:00+06:00,AG001,ROCKET,ACC-001-RO-000,CASH_IN,4000,SUCCESS,AGENT
TXN-000198,2026-06-20T09:39:00+06:00,AG005,ROCKET,ACC-005-RO-001,CASH_IN,500,SUCCESS,AGENT
TXN-000043,2026-06-20T09:40:00+06:00,AG002,BKASH,ACC-002-BK-000,CASH_IN,5000,SUCCESS,AGENT
TXN-000240,2026-06-20T09:41:00+06:00,AG006,ROCKET,ACC-006-RO-001,CASH_OUT,1000,SUCCESS,AGENT
TXN-000114,2026-06-20T09:44:00+06:00,AG003,ROCKET,ACC-003-RO-001,CASH_OUT,3000,SUCCESS,AGENT
TXN-000212,2026-06-20T09:44:00+06:00,AG006,BKASH,ACC-006-BK-001,CASH_OUT,1200,SUCCESS,AGENT
TXN-000072,2026-06-20T09:50:00+06:00,AG002,ROCKET,ACC-002-RO-001,CASH_IN,2000,SUCCESS,AGENT
TXN-000184,2026-06-20T09:51:00+06:00,AG005,NAGAD,ACC-005-NA-001,CASH_OUT,5000,SUCCESS,AGENT
TXN-000142,2026-06-20T09:53:00+06:00,AG004,NAGAD,ACC-004-NA-001,CASH_OUT,800,SUCCESS,AGENT
TXN-000170,2026-06-20T09:53:00+06:00,AG005,BKASH,ACC-005-BK-001,CASH_IN,3000,SUCCESS,AGENT
