feed_event_id,timestamp,agent_id,provider_id,event_type,delay_minutes,reported_balance
FEED-000001,2026-06-20T09:00:59+06:00,AG001,BKASH,HEARTBEAT,0,
FEED-000002,2026-06-20T09:00:59+06:00,AG001,NAGAD,HEARTBEAT,0,
FEED-000003,2026-06-20T09:00:59+06:00,AG001,ROCKET,HEARTBEAT,0,
FEED-000004,2026-06-20T09:00:59+06:00,AG002,BKASH,HEARTBEAT,0,
FEED-000005,2026-06-20T09:00:59+06:00,AG002,NAGAD,HEARTBEAT,0,
FEED-000006,2026-06-20T09:00:59+06:00,AG002,ROCKET,HEARTBEAT,0,
FEED-000007,2026-06-20T09:00:59+06:00,AG003,BKASH,HEARTBEAT,0,
FEED-000008,2026-06-20T09:00:59+06:00,AG003,NAGAD,HEARTBEAT,0,
FEED-000009,2026-06-20T09:00:59+06:00,AG003,ROCKET,HEARTBEAT,0,
FEED-000010,2026-06-20T09:00:59+06:00,AG004,BKASH,HEARTBEAT,0,
FEED-000011,2026-06-20T09:00:59+06:00,AG004,NAGAD,HEARTBEAT,0,
FEED-000012,2026-06-20T09:00:59+06:00,AG004,ROCKET,HEARTBEAT,0,
FEED-000013,2026-06-20T09:00:59+06:00,AG005,BKASH,HEARTBEAT,0,
FEED-000014,2026-06-20T09:00:59+06:00,AG005,NAGAD,HEARTBEAT,0,
FEED-000015,2026-06-20T09:00:59+06:00,AG005,ROCKET,HEARTBEAT,0,
FEED-000016,2026-06-20T09:00:59+06:00,AG006,BKASH,HEARTBEAT,0,
FEED-000017,2026-06-20T09:00:59+06:00,AG006,NAGAD,HEARTBEAT,0,
FEED-000018,2026-06-20T09:00:59+06:00,AG006,ROCKET,HEARTBEAT,0,
FEED-000019,2026-06-20T09:10:59+06:00,AG001,BKASH,HEARTBEAT,0,
FEED-000020,2026-06-20T09:10:59+06:00,AG001,NAGAD,HEARTBEAT,0,
FEED-000021,2026-06-20T09:10:59+06:00,AG001,ROCKET,HEARTBEAT,0,
FEED-000022,2026-06-20T09:10:59+06:00,AG002,BKASH,HEARTBEAT,0,
FEED-000023,2026-06-20T09:10:59+06:00,AG002,NAGAD,HEARTBEAT,0,
FEED-000024,2026-06-20T09:10:59+06:00,AG002,ROCKET,HEARTBEAT,0,
FEED-000025,2026-06-20T09:10:59+06:00,AG003,BKASH,HEARTBEAT,0,
FEED-000026,2026-06-20T09:10:59+06:00,AG003,NAGAD,HEARTBEAT,0,
FEED-000027,2026-06-20T09:10:59+06:00,AG003,ROCKET,HEARTBEAT,0,
FEED-000028,2026-06-20T09:10:59+06:00,AG004,BKASH,HEARTBEAT,0,
FEED-000029,2026-06-20T09:10:59+06:00,AG004,NAGAD,HEARTBEAT,0,
FEED-000030,2026-06-20T09:10:59+06:00,AG004,ROCKET,HEARTBEAT,0,
FEED-000031,2026-06-20T09:10:59+06:00,AG005,BKASH,HEARTBEAT,0,
FEED-000032,2026-06-20T09:10:59+06:00,AG005,NAGAD,HEARTBEAT,0,
FEED-000033,2026-06-20T09:10:59+06:00,AG005,ROCKET,HEARTBEAT,0,
FEED-000034,2026-06-20T09:10:59+06:00,AG006,BKASH,HEARTBEAT,0,
FEED-000035,2026-06-20T09:10:59+06:00,AG006,NAGAD,HEARTBEAT,0,
FEED-000036,2026-06-20T09:10:59+06:00,AG006,ROCKET,HEARTBEAT,0,
FEED-000037,2026-06-20T09:20:59+06:00,AG001,BKASH,HEARTBEAT,0,
FEED-000038,2026-06-20T09:20:59+06:00,AG001,NAGAD,HEARTBEAT,0,
FEED-000039,2026-06-20T09:20:59+06:00,AG001,ROCKET,HEARTBEAT,0,
FEED-000040,2026-06-20T09:20:59+06:00,AG002,BKASH,HEARTBEAT,0,
FEED-000041,2026-06-20T09:20:59+06:00,AG002,NAGAD,HEARTBEAT,0,
FEED-000042,2026-06-20T09:20:59+06:00,AG002,ROCKET,HEARTBEAT,0,
FEED-000043,2026-06-20T09:20:59+06:00,AG003,BKASH,HEARTBEAT,0,
FEED-000044,2026-06-20T09:20:59+06:00,AG003,NAGAD,HEARTBEAT,0,
FEED-000045,2026-06-20T09:20:59+06:00,AG003,ROCKET,HEARTBEAT,0,
FEED-000046,2026-06-20T09:20:59+06:00,AG004,BKASH,HEARTBEAT,0,
FEED-000047,2026-06-20T09:20:59+06:00,AG004,NAGAD,HEARTBEAT,0,
FEED-000048,2026-06-20T09:20:59+06:00,AG004,ROCKET,HEARTBEAT,0,
FEED-000049,2026-06-20T09:20:59+06:00,AG005,BKASH,HEARTBEAT,0,
FEED-000050,2026-06-20T09:20:59+06:00,AG005,NAGAD,HEARTBEAT,0,
FEED-000051,2026-06-20T09:20:59+06:00,AG005,ROCKET,HEARTBEAT,0,
FEED-000052,2026-06-20T09:20:59+06:00,AG006,BKASH,HEARTBEAT,0,
FEED-000053,2026-06-20T09:20:59+06:00,AG006,NAGAD,HEARTBEAT,0,
FEED-000054,2026-06-20T09:20:59+06:00,AG006,ROCKET,HEARTBEAT,0,
FEED-000055,2026-06-20T09:30:59+06:00,AG001,BKASH,HEARTBEAT,0,
FEED-000056,2026-06-20T09:30:59+06:00,AG001,NAGAD,HEARTBEAT,0,
FEED-000057,2026-06-20T09:30:59+06:00,AG001,ROCKET,HEARTBEAT,0,
FEED-000058,2026-06-20T09:30:59+06:00,AG002,BKASH,HEARTBEAT,0,
FEED-000059,2026-06-20T09:30:59+06:00,AG002,NAGAD,HEARTBEAT,0,
FEED-000060,2026-06-20T09:30:59+06:00,AG002,ROCKET,HEARTBEAT,0,
FEED-000061,2026-06-20T09:30:59+06:00,AG003,BKASH,HEARTBEAT,0,
FEED-000062,2026-06-20T09:30:59+06:00,AG003,NAGAD,HEARTBEAT,0,
FEED-000063,2026-06-20T09:30:59+06:00,AG003,ROCKET,HEARTBEAT,0,
