transaction_id,timestamp,agent_id,provider_id,account_id,transaction_type,amount,status,channel
TXN-00000001,2026-06-20T09:00:31+06:00,AG001,NAGAD,ACC-AG001-NAGAD-0028,CASH_OUT,4000,SUCCESS,AGENT
TXN-00000002,2026-06-20T09:00:49+06:00,AG006,BKASH,ACC-AG006-BKASH-0025,CASH_OUT,25500,SUCCESS,AGENT
TXN-00000003,2026-06-20T09:00:56+06:00,AG002,ROCKET,ACC-AG002-ROCKET-0007,CASH_IN,14300,SUCCESS,AGENT
TXN-00000004,2026-06-20T09:01:36+06:00,AG002,NAGAD,ACC-AG002-NAGAD-0011,CASH_OUT,12100,SUCCESS,AGENT
TXN-00000005,2026-06-20T09:06:02+06:00,AG003,NAGAD,ACC-AG003-NAGAD-0082,CASH_IN,4900,SUCCESS,AGENT
TXN-00000006,2026-06-20T09:07:20+06:00,AG003,NAGAD,ACC-AG003-NAGAD-0081,CASH_IN,4600,SUCCESS,AGENT
TXN-00000007,2026-06-20T09:07:40+06:00,AG001,NAGAD,ACC-AG001-NAGAD-0070,CASH_OUT,5500,SUCCESS,AGENT
TXN-00000008,2026-06-20T09:07:59+06:00,AG005,ROCKET,ACC-AG005-ROCKET-0022,CASH_OUT,3700,SUCCESS,AGENT
TXN-00000009,2026-06-20T09:08:21+06:00,AG004,BKASH,ACC-AG004-BKASH-0002,CASH_OUT,200,SUCCESS,AGENT
TXN-00000010,2026-06-20T09:09:03+06:00,AG005,ROCKET,ACC-AG005-ROCKET-0039,CASH_OUT,500,SUCCESS,AGENT
TXN-00000011,2026-06-20T09:09:58+06:00,AG005,NAGAD,ACC-AG005-NAGAD-0030,CASH_IN,1450,SUCCESS,AGENT
TXN-00000012,2026-06-20T09:12:13+06:00,AG001,NAGAD,ACC-AG001-NAGAD-0014,CASH_OUT,14800,SUCCESS,AGENT
TXN-00000013,2026-06-20T09:14:16+06:00,AG005,NAGAD,ACC-AG005-NAGAD-0014,CASH_OUT,1500,SUCCESS,AGENT
TXN-00000014,2026-06-20T09:14:17+06:00,AG003,ROCKET,ACC-AG003-ROCKET-0066,CASH_IN,10500,SUCCESS,AGENT
TXN-00000015,2026-06-20T09:14:21+06:00,AG002,NAGAD,ACC-AG002-NAGAD-0027,CASH_IN,200,SUCCESS,AGENT
TXN-00000016,2026-06-20T09:15:45+06:00,AG006,NAGAD,ACC-AG006-NAGAD-0009,CASH_OUT,950,SUCCESS,AGENT
TXN-00000017,2026-06-20T09:19:59+06:00,AG004,NAGAD,ACC-AG004-NAGAD-0004,CASH_OUT,8200,SUCCESS,AGENT
TXN-00000018,2026-06-20T09:20:11+06:00,AG001,ROCKET,ACC-AG001-ROCKET-0081,CASH_OUT,10300,SUCCESS,AGENT
TXN-00000019,2026-06-20T09:20:21+06:00,AG002,BKASH,ACC-AG002-BKASH-0080,CASH_OUT,12300,SUCCESS,AGENT
TXN-00000020,2026-06-20T09:20:52+06:00,AG003,ROCKET,ACC-AG003-ROCKET-0053,CASH_IN,22500,SUCCESS,AGENT
TXN-00000021,2026-06-20T09:23:01+06:00,AG005,NAGAD,ACC-AG005-NAGAD-0027,CASH_IN,3900,SUCCESS,AGENT
TXN-00000022,2026-06-20T09:23:01+06:00,AG005,NAGAD,ACC-AG005-NAGAD-0060,CASH_IN,750,SUCCESS,AGENT
TXN-00000023,2026-06-20T09:23:59+06:00,AG006,BKASH,ACC-AG006-BKASH-0024,CASH_OUT,4100,SUCCESS,AGENT
TXN-00000024,2026-06-20T09:24:23+06:00,AG006,BKASH,ACC-AG006-BKASH-0024,CASH_IN,1200,SUCCESS,AGENT
TXN-00000025,2026-06-20T09:26:16+06:00,AG001,BKASH,ACC-AG001-BKASH-0100,CASH_OUT,2400,SUCCESS,AGENT
TXN-00000026,2026-06-20T09:28:37+06:00,AG005,BKASH,ACC-AG005-BKASH-0076,CASH_IN,3900,SUCCESS,AGENT
TXN-00000027,2026-06-20T09:28:43+06:00,AG001,BKASH,ACC-AG001-BKASH-0077,CASH_OUT,1150,SUCCESS,AGENT
TXN-00000028,2026-06-20T09:28:52+06:00,AG004,ROCKET,ACC-AG004-ROCKET-0093,CASH_IN,3100,SUCCESS,AGENT
TXN-00000029,2026-06-20T09:29:05+06:00,AG002,BKASH,ACC-AG002-BKASH-0080,CASH_OUT,5700,SUCCESS,AGENT
TXN-00000030,2026-06-20T09:30:02+06:00,AG004,ROCKET,ACC-AG004-ROCKET-0048,CASH_IN,13400,SUCCESS,AGENT
TXN-00000031,2026-06-20T09:30:18+06:00,AG004,ROCKET,ACC-AG004-ROCKET-0047,CASH_OUT,600,SUCCESS,AGENT
TXN-00000032,2026-06-20T09:33:18+06:00,AG005,BKASH,ACC-AG005-BKASH-0081,CASH_IN,700,SUCCESS,AGENT
TXN-00000033,2026-06-20T09:33:21+06:00,AG002,BKASH,ACC-AG002-BKASH-0033,CASH_IN,11100,SUCCESS,AGENT
TXN-00000034,2026-06-20T09:34:37+06:00,AG004,BKASH,ACC-AG004-BKASH-0040,CASH_IN,4500,SUCCESS,AGENT
TXN-00000035,2026-06-20T09:35:02+06:00,AG003,BKASH,ACC-AG003-BKASH-0028,CASH_IN,5500,SUCCESS,AGENT
